"school","author","n"
"analytic","Kripke",12479
"analytic","Lewis",13120
"analytic","Moore",3668
"analytic","Popper",4678
"analytic","Quine",7373
"analytic","Russell",5073
"analytic","Wittgenstein",9034
"aristotle","Aristotle",48779
"capitalism","Keynes",3411
"capitalism","Ricardo",3090
"capitalism","Smith",11693
"communism","Lenin",4469
"communism","Marx",13489
"continental","Deleuze",12540
"continental","Derrida",5999
"continental","Foucault",15240
"empiricism","Berkeley",2734
"empiricism","Hume",8312
"empiricism","Locke",8885
"feminism","Beauvoir",13017
"feminism","Davis",3059
"feminism","Wollstonecraft",2559
"german_idealism","Fichte",5308
"german_idealism","Hegel",22700
"german_idealism","Kant",14128
"nietzsche","Nietzsche",13548
"phenomenology","Heidegger",15239
"phenomenology","Husserl",5742
"phenomenology","Merleau-Ponty",7592
"plato","Plato",38366
"rationalism","Descartes",1132
"rationalism","Leibniz",5027
"rationalism","Malebranche",12997
"rationalism","Spinoza",3793
"stoicism","Epictetus",323
"stoicism","Marcus Aurelius",2212
